pair_id,job_id,cand_id,domain_category,job_title,job_requirements,job_description,job_address,desired_job,candidate_skills,candidate_work_exp,workplace_desired,human_role_score,human_skill_score,human_exp_score,human_loc_score,human_relevance,human_rationale
1452,JOB_20,CV_047,DIFFERENT_DOMAIN,Nhân Viên Kinh Doanh (Thu Nhập Lên Đến 30 Triệu),"- Nam, tuổi từ 21 trở lên;- Yêu thích kinh doanh và kiếm tiền. Chưa có kinh nghiệm nhưng có tố chất kinh doanh, yêu thích tiếp xúc khách hàng, đam mê phát triển mối quan hệ bán hàng thì sẽ được đào tạo.- Có kinh nghiệm khách hàng B2B là một lợi thế.- Có bằng lái xe ô tô là 1 lợi thế.","- Khai thác, mở rộng, thiết lập khách hàng theo kênh bán hàng đảm trách.- Vai trò đại diện thương hiệu Công ty giao dịch với khách hàng bằng việc cung cấp giải pháp, công nghệ, sản phẩm, dịch vụ...- Thực hiện trực tiếp hoạt động bán hàng, triển khai các chương trình xúc tiến thương mại theo kế hoạch",Bình Dương,Chuyên Viên Điều Phối Học Thuật,"- Sự hiểu biết và tính ham học hỏi - Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Có khả năng quản lý, sắp xếp khối lượng công việc lớn - Có thể chịu được công việc có nhiều áp lực - Có khả năng xây dựng và làm việc theo đội nhóm - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Thành thạo tin học văn phòng - Có tầm nhìn và sự quyết đoán",Chưa có kinh nghiệm,Hồ Chí Minh,,,,,,
104,JOB_01,CV_017,ADJACENT_DOMAIN,"Thực Tập Sinh Lập Trình (No-Code, Low-Code Platform)","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin.Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần.Những người quan tâm đến thị trường No-code và Low-code mới và muốn làm việc trong lĩnh vực này.Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành.Có laptop cá nhân.","Phối hợp với bộ phận lập trình No-code, Low-code phát triển các ứng dụng sử dụng nền tảng phát triển No-code, Low-code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng.Tạo trang web bằng Webflow, Shopify, Burble, Adalo, xây dựng trang website thương mại điện tử EC, ",Hồ Chí Minh,Nhân viên kinh doanh,"- Kỹ năng lắng nghe và giải quyết vấn đề hiệu quả. - Kỹ năng thuyết trình tốt - Dễ dàng làm quen với môi trường mới - Có khả năng quản lý, sắp xếp khối lượng công việc lớn - Khả năng tư duy sáng tạo. - Kỹ năng làm việc nhóm tốt. - Khả năng nhận diện vấn đề nhanh - Kỹ năng soạn thảo văn bản, hợp đồng,… - Kỹ năng lãnh đạo tốt",Chưa có kinh nghiệm,Hồ Chí Minh,,,,,,
1676,JOB_23,CV_090,DIFFERENT_DOMAIN,Nhân Viên Đào Tạo,"- Linh hoạt, chủ động trong công việc- Kỹ năng thuyết trình, giải quyết vấn đề, làm việc theo nhóm và độc lập- Tốt nghiệp Đại học trở lên- Có thể sử dụng tốt powerpoint, canva...","- Lên lịch và tổ chức các lớp học, làm báo cáo tổng hợp đánh giá kết quả của các lớp học này có tham khảo ý kiến từ giảng viên và học viên- Quản lý cơ sở dữ liệu đào tạo, dữ liệu nhà cung cấp, thư viện tài liệu đào tạo- Trực tiếp thuyết trình trong các buổi đào tạo định hướng cho nhân viên mới của T",Hà Nội,Nhân viên lái xe hạng B2,"+ Kỹ năng giao tiếp, đàm phán và thuyết phục khách hàng + Có kiến thức và kỹ năng dịch vụ chăm sóc khách hàng, quy trình chăm sóc khách hàng + Kỹ năng nhập và xử lý dữ liệu + Thành thạo MS Word và MS Excel + Kỹ năng quản lý thời gian, sắp xếp công việc + Kỹ năng làm việc nhóm và làm việc độc lập hiệu quả",5-10 năm,Bình Dương,,,,,,
97,JOB_01,CV_073,ADJACENT_DOMAIN,"Thực Tập Sinh Lập Trình (No-Code, Low-Code Platform)","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin.Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần.Những người quan tâm đến thị trường No-code và Low-code mới và muốn làm việc trong lĩnh vực này.Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành.Có laptop cá nhân.","Phối hợp với bộ phận lập trình No-code, Low-code phát triển các ứng dụng sử dụng nền tảng phát triển No-code, Low-code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng.Tạo trang web bằng Webflow, Shopify, Burble, Adalo, xây dựng trang website thương mại điện tử EC, ",Hồ Chí Minh,Nhân viên kinh doanh,"- Tin học văn phòng: sử dụng cácphần mềm word, excel, powerpoint - Khả năng giao tiếp tốt - Khả năng phân chia công việc,điều phối tốt - Khả năng giải quyết vấn đề khá nhanh. - Luôn chủ động trong công việc",Trên 10 năm,Bắc Ninh,,,,,,
90,JOB_01,CV_029,ADJACENT_DOMAIN,"Thực Tập Sinh Lập Trình (No-Code, Low-Code Platform)","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin.Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần.Những người quan tâm đến thị trường No-code và Low-code mới và muốn làm việc trong lĩnh vực này.Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành.Có laptop cá nhân.","Phối hợp với bộ phận lập trình No-code, Low-code phát triển các ứng dụng sử dụng nền tảng phát triển No-code, Low-code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng.Tạo trang web bằng Webflow, Shopify, Burble, Adalo, xây dựng trang website thương mại điện tử EC, ",Hồ Chí Minh,Nhân viên phụ kho - sản xuất,"Bên cạnh kinh nghiệm sâu dày trong lĩnh vực sản xuất, tôi tự đánh giá bản thân có thể đem lại được cho doanh nghiệp những giá trị về năng suất sản phẩm với các kỹ năng: - Phát hiện lỗi trong dây chuyền sản xuất - Đánh giá hiệu suất máy móc và năng suất của nhân viên - Xây dựng kế hoạch sản xuất phù hợp với nhân lực và thiết bị - Hoạch định kế hoạch sản xuất phù hợp với doanh nghiệp - Quản lý và dẫn dắt nhân viên",1-3 năm,Hà Nội,,,,,,
3676,JOB_52,CV_098,ADJACENT_DOMAIN,Thực Tập Kế Toán Nhập Liệu,"Sinh viên đang theo học chuyên ngành kế toán, coi trọng công việc thực tậpTư duy logic tốt, kỷ luật cao, trung thực và chăm chỉƯu tiên các ứng viên có khả năng giao tiếp tốt",Nhập liệu hóa đơn bán hàng và báo có/báo nợ ngân hàng trên phần mềm kế toánCập nhật và theo dõi công nợ đơn giản Hỗ trợ lập hợp đồng/báo giá và các công việc hành chính cơ bản khác,Hà Nội,HR,Thể thao Giao tiếp Giảng dạy Tư vấn,1-3 năm,Hà Nội,,,,,,
3573,JOB_51,CV_007,SAME_DOMAIN,Nhân Viên QC Thời Trang,"- Kinh nghiệm: Ứng viên có kinh nghiệm tối thiểu 3 năm về nghiệp vụ liên quan.- Kiến thức cần thiết:+ Kiến thức về sản phẩm hàng thời trang đa dạng (dệt kim & dệt thoi)+ Kiến thức về quy trình sản xuất, hiểu về các công đoạn cấu thành sản phẩm- Kỹ năng chuyên môn:+ Có kiến thức am hiểu về sản xuất các loại trang phục thời trang nam/nữ/trẻ em+ Kỹ năng giao tiếp tốt, trao đổi vấn đề mạch lạc, tương tác công việc hiệu quả.+ Sử dụng được các phần mềm cơ bản: Office- Thái độ: Cầu thị, nhiệt tâm, cẩn thận, linh hoạt.",1.Kiểm soát chất lượng nguồn nguyên liệu nhập:- Kiểm soát chất lượng nguyên liệu đầu vào (nếu có)- Thông báo kịp thời các vấn đề liên quan đến chất lượng không đảm bảo của nguyên liệu sản xuất.2. Kiểm soát chất lượng hàng hóa trước khi đưa ra lưu thông:- Tiếp nhận thông tin đơn hàng từ nhân viên phụ,Hà Nội,Nhân viên lái xe hạng C,"- Có bằng lái xe B2 - Nắm rõ các quy định về quy trình vận tải hành khách và hàng hóa, hiểu luật giao thông - Đảm bảo lái xe an toàn trên mọi hành trình - Xử lý tình huống nhanh, linh hoạt - Có sức khỏe tốt đảm bảo phục vụ công việc lái xe hiệu quả",3-5 năm,Bình Dương,,,,,,
177,JOB_02,CV_065,DIFFERENT_DOMAIN,HR Business Partner,"Tốt nghiệp đại học các chuyên ngành liên quan như kinh tế, quản trị, hành chánh, luật...Am hiểu sâu về Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn.Có ít nhất 3 năm kinh nghiệm trong công tác quản trị nhân sự và hành chánh. Ít nhất 1 năm kinh nghiệm ở vị trí tương đương.Kỹ năng lãnh đạo nhân viên; lập kế hoạch; giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo.Có khả năng chịu áp lực cao trong công việcTrung thực, chính trực, nhiệt tình công tác. Sáng tạo trong công việc","Xây dựng và thực hiện chiến lược nhân sự phù hợp với chiến lược kinh doanh tổng thể trong từng giai đoạn phát triển của Công ty.Giám sát và quản lý hệ thống đánh giá, thưởng phạt cho nhân viên.Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý k",Hồ Chí Minh,Nhân viên lái xe hạng B2,"- Hiểu rõ luật giao thông nên đảm bảo hành trình di chuyển luôn tuân thủ đúng quy định. - Có tính cẩn thận, đảm bảo quá trình lái xe diễn ra an toàn. - Có sức khỏe tốt - Kỹ năng vận chuyển, bốc xếp hàng hóa",Trên 10 năm,Hưng Yên,,,,,,
2085,JOB_29,CV_000,SAME_DOMAIN,Quản Lý Cửa Hàng Thời Trang,"- Nam,nữ độ tuổi từ 28-35 . Ngoại hình ưa nhìn. Có gu ăn mặc là một lợi thế- Có 2 năm kinh nghiệm quản lý lĩnh vực thời trang, bán lẻ- Khả năng sale tốt.","-Chịu trách nhiệm toàn bộ hàng hóa, nhân viên trong Showroom-Chịu trách nhiệm hàng hóa, doanh số trong showroom-Kiểm tra cách trưng bày hàng hóa sao cho bắt mắt và thường xuyên thay đổi.-Sắp xếp lịch làm việc cho nhân viên hàng tuần.-Có kế hoạch Chăm sóc khách hàng offline, online thường xuyên thúc ",Bắc Ninh,Nhân viên lái xe bằng B2,"- Bằng lái xe hạng C, D, E và có kinh nghiệm 5 năm lái xe tải, 5 năm lái xe khách. - Am hiểu về xe tải, biết cách xử lý các vấn đề xảy ra với xe. - Bảo quản và giữ gìn xe sạch sẽ, thường xuyên bảo dưỡng xe. - Lái xe an toàn và đảm bảo tuân thủ luật giao thông. - Khả năng ghi nhớ nhanh chóng, nhớ đường tốt. - Kỹ năng giao tiếp và thiết lập các mối quan hệ với khách hàng, đồng nghiệp. - Kỹ năng giải quyết vấn đề. - Sắp xếp và tổ chức, quản lý công việc hiệu quả, đảm bảo hàng hóa đến tay khách hàng nhanh nhất. - Chịu được áp lực cao trong công việc và khi lái xe.",5-10 năm,Hà Nội,,,,,,
1624,JOB_23,CV_098,SAME_DOMAIN,Nhân Viên Đào Tạo,"- Linh hoạt, chủ động trong công việc- Kỹ năng thuyết trình, giải quyết vấn đề, làm việc theo nhóm và độc lập- Tốt nghiệp Đại học trở lên- Có thể sử dụng tốt powerpoint, canva...","- Lên lịch và tổ chức các lớp học, làm báo cáo tổng hợp đánh giá kết quả của các lớp học này có tham khảo ý kiến từ giảng viên và học viên- Quản lý cơ sở dữ liệu đào tạo, dữ liệu nhà cung cấp, thư viện tài liệu đào tạo- Trực tiếp thuyết trình trong các buổi đào tạo định hướng cho nhân viên mới của T",Hà Nội,HR,Thể thao Giao tiếp Giảng dạy Tư vấn,1-3 năm,Hà Nội,,,,,,
