pair_id,job_id,cand_id,job_title,loc_match,skill_iou,exp_score,role_match,desc_sem_sim,heuristic_score,heuristic_label,legacy_composite_quality,legacy_gold_relevance,legacy_gold_label_binary,gold_relevance,gold_label_binary,stratum
5244,JOB_74,CV_099,Nhân Viên Hành Chính - Giám Sát,1.0,0.11083873932307964,1.0,0.07749170844806204,0.2486610143951488,0.564199542537494,1,0.28744867006858926,1,1,1,1,Boundary/Ambiguous
176,JOB_02,CV_037,nhân viên sale admin,1.0,0.011511752003328858,1.0,0.0,0.26807625915804617,0.5296855639166368,1,0.24785580390648126,0,0,0,0,Easy Negative
1023,JOB_14,CV_073,Cần tuyển nhân viên làm việc fulltime cho siêu thị tại quận bình thạnh,0.0,0.053555335097666835,1.0,0.04565267141605494,0.10479376203770124,0.23071611069059508,0,0.21227008470978706,0,0,0,0,Boundary/Ambiguous
1669,JOB_23,CV_088,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),0.0,0.04364150691043445,1.0,0.0,0.2101224951141247,0.2319226262390211,0,0.2388174007085957,0,0,0,0,Easy Negative
4241,JOB_60,CV_024,Cần tuyển 2 bạn phụ chị làm việc vào dịp cuối năm ở quận Gò Vấp,0.0,0.050960653206339114,1.0,0.0,0.14635068246008512,0.22737523154759332,0,0.21905896748324846,0,0,0,0,Easy Negative
1651,JOB_23,CV_109,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),0.0,0.043741960064716645,1.0,0.0,0.037524866723352625,0.21468797668851444,0,0.17844338937582424,0,0,0,0,Easy Negative
3701,JOB_52,CV_053,Chuyên Viên Cao Cấp Triển Khai Back-End - MSB Df - Dxn - 1M344,1.0,0.14882533714287405,1.0,0.0,0.17956881668345967,0.5551632159540645,1,0.2649379538392168,1,1,1,1,Easy Positive
1470,JOB_21,CV_049,BIÊN TẬP VIÊN,0.0,0.08781911305016571,1.0,0.06674183893954201,0.1742972915304977,0.24939578325652254,0,0.2517520174441635,1,1,1,1,Boundary/Ambiguous
121,JOB_01,CV_105,Trưởng Ca Phục Vụ Nhà Hàng,1.0,0.17800106836351326,0.44932896411722156,0.0,0.2497090725244013,0.45933696716676276,1,0.21709789392835332,0,0,0,0,Easy Positive
1677,JOB_23,CV_106,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),1.0,0.15005315278776846,1.0,0.03353098420987642,0.2580771660116183,0.5683506524295855,1,0.2978752592112668,1,1,1,1,Easy Positive
173,JOB_02,CV_052,nhân viên sale admin,1.0,0.1579236285589108,1.0,0.0,0.18637800207056593,0.5581187073467844,1,0.27050557072031683,1,1,1,1,Easy Positive
5240,JOB_74,CV_102,Nhân Viên Hành Chính - Giám Sát,0.0,0.02342144630105556,1.0,0.0,0.19398580519327127,0.22525394209459104,0,0.22609253802301438,0,0,0,0,Easy Negative
4262,JOB_60,CV_119,Cần tuyển 2 bạn phụ chị làm việc vào dịp cuối năm ở quận Gò Vấp,0.0,0.10267612925605879,1.0,0.0,0.1357534163891707,0.23924437395293177,0,0.2334503409758303,0,0,0,0,Boundary/Ambiguous
4973,JOB_71,CV_027,Kế Toán Nội Bộ,0.0,0.04177777854296863,1.0,0.0,0.19257072152874438,0.2297015167886166,0,0.23202197502509952,0,0,0,0,Easy Negative
119,JOB_01,CV_081,Trưởng Ca Phục Vụ Nhà Hàng,0.0,0.14039337545154068,1.0,0.0,0.28474342260672036,0.2635726861235572,0,0.29879787932039137,1,1,1,1,Boundary/Ambiguous
1453,JOB_20,CV_031,Nhân Viên Tư Vấn Khóa Học,1.0,0.1567974717378711,1.0,0.05753098072130113,0.22465621196397093,0.57029463623906,1,0.2921384364038399,1,1,1,1,Easy Positive
1477,JOB_21,CV_101,BIÊN TẬP VIÊN,0.0,0.19028840574513622,1.0,0.04013769000002626,0.13554778938488782,0.26714753387477674,0,0.2700633217955123,1,1,1,1,Boundary/Ambiguous
5245,JOB_74,CV_067,Nhân Viên Hành Chính - Giám Sát,0.0,0.14107126727108413,1.0,0.13293470457984785,0.3157187258624542,0.28677989509099366,0,0.3298167032837156,1,1,1,1,Boundary/Ambiguous
2058,JOB_29,CV_060,Nhân viên Telesale,1.0,0.12513638245227052,1.0,0.0,0.12283662776834477,0.543567758389902,1,0.23679055357721535,0,0,0,0,Easy Positive
1520,JOB_21,CV_043,BIÊN TẬP VIÊN,0.0,0.014000702426613155,1.0,0.0403974540513056,0.2029970191191277,0.2298594956262619,0,0.23200882064870515,0,0,0,0,Easy Negative
3614,JOB_51,CV_066,Pm/Leader,0.0,0.006398892028864945,1.0,0.0,0.10459467581401875,0.2120591905886181,0,0.1888477487450093,0,0,0,0,Easy Negative
999,JOB_14,CV_006,Cần tuyển nhân viên làm việc fulltime cho siêu thị tại quận bình thạnh,0.0,0.08996844159451185,1.0,0.056032573113261555,0.0739388768580523,0.23829088405142246,0,0.21577244742538668,0,0,0,0,Boundary/Ambiguous
4200,JOB_60,CV_010,Cần tuyển 2 bạn phụ chị làm việc vào dịp cuối năm ở quận Gò Vấp,1.0,0.15797714759036857,1.0,0.0,0.08928254813603555,0.5484225417111958,1,0.23654089350424143,0,0,0,0,Easy Positive
77,JOB_01,CV_027,Trưởng Ca Phục Vụ Nhà Hàng,1.0,0.05615447248817116,0.44932896411722156,0.0,0.1814279186372512,0.4220472028092122,0,0.15055318151148106,0,0,0,0,Easy Negative
2035,JOB_29,CV_030,Nhân viên Telesale,0.0,0.05223248650217205,1.0,0.20916739971388432,0.23538922020499242,0.26797215360312493,0,0.2820427073045902,1,1,1,1,Boundary/Ambiguous
1670,JOB_23,CV_086,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),1.0,0.21829261553060225,1.0,0.02967007953442976,0.1543334414206712,0.5744570099548821,1,0.2848696318631101,1,1,1,1,Easy Positive
1412,JOB_20,CV_022,Nhân Viên Tư Vấn Khóa Học,1.0,0.010003715364222444,1.0,0.04878284521781869,0.3228024355104793,0.5420985991747763,1,0.2737995795888184,1,1,1,1,Easy Negative
1624,JOB_23,CV_098,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),1.0,0.09787850748131775,1.0,0.036656982691747886,0.15638457999518898,0.5456066322736106,1,0.24449062802053953,0,0,0,0,Boundary/Ambiguous
1468,JOB_20,CV_116,Nhân Viên Tư Vấn Khóa Học,1.0,0.18480537408514658,1.0,0.12208268476357459,0.24048657317603817,0.5885624035534267,1,0.3171645842559509,1,1,1,1,Easy Positive
204,JOB_02,CV_094,nhân viên sale admin,1.0,0.08484440184939526,1.0,0.15306690639620296,0.21778408068913302,0.5659495444906925,1,0.27888000484791536,1,1,1,1,Boundary/Ambiguous
986,JOB_14,CV_083,Cần tuyển nhân viên làm việc fulltime cho siêu thị tại quận bình thạnh,1.0,0.19324868214135965,1.0,0.07545423066284702,0.06299960256678527,0.5659302653914456,1,0.25100503424727777,1,1,1,1,Easy Positive
191,JOB_02,CV_084,nhân viên sale admin,0.0,0.016269756128379952,1.0,0.08573004915905563,0.2980250089430349,0.24672944730025687,0,0.27286267514885354,1,1,1,1,Easy Negative
3617,JOB_51,CV_074,Pm/Leader,0.0,0.10710438321719272,1.0,0.0,0.2826150910021944,0.25503760490451766,0,0.2864018159767855,1,1,1,1,Boundary/Ambiguous
3615,JOB_51,CV_005,Pm/Leader,1.0,0.1880359669458483,1.0,0.0,0.20565119384534053,0.5675741111209961,1,0.28779050627691605,1,1,1,1,Easy Positive
130,JOB_01,CV_004,Trưởng Ca Phục Vụ Nhà Hàng,0.0,0.11816665211380216,1.0,0.0,0.3378262408509104,0.2633242871135416,0,0.30959751253764933,1,1,1,1,Boundary/Ambiguous
3685,JOB_52,CV_078,Chuyên Viên Cao Cấp Triển Khai Back-End - MSB Df - Dxn - 1M344,1.0,0.1643298667760145,1.0,0.028546103322075557,0.14762040216992084,0.5601264224093071,1,0.26346450962938867,1,1,1,1,Easy Positive
1400,JOB_20,CV_078,Nhân Viên Tư Vấn Khóa Học,0.0,0.17226392516301817,1.0,0.11167183642826853,0.25154734695497544,0.2849714914504924,0,0.315084720705538,1,1,1,1,Boundary/Ambiguous
4243,JOB_60,CV_089,Cần tuyển 2 bạn phụ chị làm việc vào dịp cuối năm ở quận Gò Vấp,0.0,0.08693146361021685,1.0,0.0,0.07885623675499563,0.22961848957805378,0,0.20802569512782437,0,0,0,0,Boundary/Ambiguous
5027,JOB_71,CV_050,Kế Toán Nội Bộ,0.0,0.04755659361291903,1.0,0.0,0.3114898280496857,0.24303813120819834,0,0.27566624758191166,1,1,1,1,Easy Negative
1483,JOB_21,CV_065,BIÊN TẬP VIÊN,1.0,0.17712395284835467,1.0,0.0,0.2730388235920685,0.5715848705712956,1,0.3075569717541481,1,1,1,1,Easy Positive
85,JOB_01,CV_046,Trưởng Ca Phục Vụ Nhà Hàng,0.0,0.003091323305773486,0.44932896411722156,0.0,0.12432583350294517,0.1030712070001822,0,0.11199534950063476,0,0,0,0,Easy Negative
1635,JOB_23,CV_004,Chuyên Viên Đào Tạo Mảng Telesales (Lương 10-15M/Tháng),1.0,0.02520040557279886,1.0,0.014068379887582718,0.19804845167973384,0.5282152035443105,1,0.23024735702152385,0,0,0,0,Easy Negative
1517,JOB_21,CV_074,BIÊN TẬP VIÊN,1.0,0.18850918793538107,1.0,0.024859327239226195,0.20648035288745317,0.5715042313584745,1,0.29197523837387584,1,1,1,1,Easy Positive
3654,JOB_52,CV_012,Chuyên Viên Cao Cấp Triển Khai Back-End - MSB Df - Dxn - 1M344,0.0,0.058478204769548084,1.0,0.03027363648960161,0.1869145959489478,0.2378520562607221,0,0.2404285257249138,0,0,0,0,Boundary/Ambiguous
1045,JOB_14,CV_079,Cần tuyển nhân viên làm việc fulltime cho siêu thị tại quận bình thạnh,1.0,0.18962166403428846,1.0,0.034634826202434965,0.056361276808323986,0.5582367676197698,1,0.2412892532252796,0,0,0,0,Easy Positive
4970,JOB_71,CV_005,Kế Toán Nội Bộ,1.0,0.1745897460818004,1.0,0.0,0.2808131963358493,0.5717287561540351,1,0.3093910298461774,1,1,1,1,Easy Positive
3593,JOB_51,CV_095,Pm/Leader,0.0,0.060643909343718244,1.0,0.0,0.08310457471132943,0.2234714348070625,0,0.20031196941926668,0,0,0,0,Boundary/Ambiguous
2071,JOB_29,CV_063,Nhân viên Telesale,1.0,0.14997198625765376,1.0,0.19717256868525715,0.14998147070460843,0.5820670289376629,1,0.28455959523958035,1,1,1,1,Easy Positive
2072,JOB_29,CV_036,Nhân viên Telesale,0.0,0.18260829337797121,1.0,0.16929962396817475,0.1996367746195571,0.29101069440167476,0,0.30918071739436115,1,1,1,1,Boundary/Ambiguous
