job_id,split
JOB_00,train
JOB_03,train
JOB_04,train
JOB_05,train
JOB_06,train
JOB_07,train
JOB_08,train
JOB_09,train
JOB_10,train
JOB_11,train
JOB_12,train
JOB_13,train
JOB_15,train
JOB_16,train
JOB_17,train
JOB_18,train
JOB_19,train
JOB_22,train
JOB_24,train
JOB_25,train
JOB_26,train
JOB_27,train
JOB_28,train
JOB_30,train
JOB_31,train
JOB_32,train
JOB_33,train
JOB_34,train
JOB_35,train
JOB_36,train
JOB_38,train
JOB_39,train
JOB_40,train
JOB_41,train
JOB_42,train
JOB_43,train
JOB_44,train
JOB_45,train
JOB_46,train
JOB_47,train
JOB_48,train
JOB_49,train
JOB_50,train
JOB_53,train
JOB_54,train
JOB_55,train
JOB_56,train
JOB_57,train
JOB_58,train
JOB_61,train
JOB_62,train
JOB_64,train
JOB_65,train
JOB_66,train
JOB_67,train
JOB_68,train
JOB_70,train
JOB_72,train
JOB_73,train
JOB_75,train
JOB_76,train
JOB_77,train
JOB_78,train
JOB_79,train
JOB_37,dev
JOB_59,dev
JOB_63,dev
JOB_69,dev
JOB_01,test
JOB_02,test
JOB_14,test
JOB_20,test
JOB_21,test
JOB_23,test
JOB_29,test
JOB_51,test
JOB_52,test
JOB_60,test
JOB_71,test
JOB_74,test
