pair_id,job_id,cand_id,lf_skill,lf_sem,lf_exp,lf_role,lf_loc,y_prob,y_weak_consensus
0,JOB_3850,CV_1068,-1,-1,-1,1,-1,0.00026061368312641647,0
1,JOB_3850,CV_2992,-1,-1,-1,1,-1,0.00026061368312641647,0
2,JOB_3850,CV_1138,-1,-1,1,1,-1,0.004994451571761179,0
3,JOB_3850,CV_1632,-1,-1,1,-1,-1,0.0015442935692705172,0
4,JOB_3850,CV_999,-1,-1,-1,1,-1,0.00026061368312641647,0
5,JOB_3850,CV_3039,-1,-1,1,1,-1,0.004994451571761179,0
6,JOB_3850,CV_1036,-1,-1,1,-1,-1,0.0015442935692705172,0
7,JOB_3850,CV_3929,-1,-1,0,1,-1,0.002396402946724275,0
8,JOB_3850,CV_1807,-1,-1,1,1,-1,0.004994451571761179,0
9,JOB_3850,CV_1803,-1,-1,-1,1,-1,0.00026061368312641647,0
10,JOB_3850,CV_1534,-1,-1,-1,1,-1,0.00026061368312641647,0
11,JOB_3850,CV_3133,-1,-1,-1,1,-1,0.00026061368312641647,0
12,JOB_3850,CV_2550,-1,-1,-1,1,-1,0.00026061368312641647,0
13,JOB_3850,CV_3670,-1,-1,-1,1,-1,0.00026061368312641647,0
14,JOB_3850,CV_3733,-1,-1,-1,1,-1,0.00026061368312641647,0
15,JOB_3850,CV_1031,-1,-1,1,1,-1,0.004994451571761179,0
16,JOB_3850,CV_532,-1,-1,1,1,-1,0.004994451571761179,0
17,JOB_3850,CV_3722,-1,-1,-1,1,-1,0.00026061368312641647,0
18,JOB_3850,CV_2069,-1,-1,-1,1,-1,0.00026061368312641647,0
19,JOB_3850,CV_278,-1,-1,1,1,-1,0.004994451571761179,0
20,JOB_3850,CV_028,-1,-1,1,1,-1,0.004994451571761179,0
21,JOB_3850,CV_1636,-1,-1,1,1,-1,0.004994451571761179,0
22,JOB_3850,CV_3970,-1,-1,-1,-1,-1,8.03182586734358e-05,0
23,JOB_3850,CV_2733,-1,-1,-1,-1,-1,8.03182586734358e-05,0
24,JOB_3850,CV_2596,-1,-1,-1,-1,-1,8.03182586734358e-05,0
25,JOB_3850,CV_2380,-1,-1,1,1,-1,0.004994451571761179,0
26,JOB_3850,CV_1618,-1,-1,1,-1,-1,0.0015442935692705172,0
27,JOB_3850,CV_3543,-1,-1,1,1,-1,0.004994451571761179,0
28,JOB_3850,CV_3284,-1,-1,-1,1,-1,0.00026061368312641647,0
29,JOB_3850,CV_2402,-1,-1,0,1,-1,0.002396402946724275,0
30,JOB_3850,CV_1252,-1,-1,1,-1,-1,0.0015442935692705172,0
31,JOB_3850,CV_140,-1,-1,-1,1,-1,0.00026061368312641647,0
32,JOB_3850,CV_3744,-1,-1,1,-1,-1,0.0015442935692705172,0
33,JOB_3850,CV_594,-1,-1,1,1,-1,0.004994451571761179,0
34,JOB_3850,CV_040,-1,-1,-1,1,-1,0.00026061368312641647,0
35,JOB_3850,CV_879,-1,-1,1,1,-1,0.004994451571761179,0
36,JOB_3850,CV_046,-1,-1,0,1,-1,0.002396402946724275,0
37,JOB_3850,CV_2327,-1,-1,-1,1,-1,0.00026061368312641647,0
38,JOB_3850,CV_1287,-1,-1,1,1,-1,0.004994451571761179,0
39,JOB_3850,CV_3474,-1,-1,1,1,-1,0.004994451571761179,0
40,JOB_3850,CV_3647,-1,-1,1,0,-1,0.002639631480061397,0
41,JOB_3850,CV_2769,-1,-1,0,1,-1,0.002396402946724275,0
42,JOB_3850,CV_2476,-1,-1,1,-1,-1,0.0015442935692705172,0
43,JOB_3850,CV_1078,-1,-1,-1,-1,-1,8.03182586734358e-05,0
44,JOB_3850,CV_3547,-1,-1,-1,1,-1,0.00026061368312641647,0
45,JOB_3850,CV_3015,-1,-1,0,1,-1,0.002396402946724275,0
46,JOB_3850,CV_2015,-1,-1,0,-1,-1,0.0007396380664553713,0
47,JOB_3850,CV_1742,-1,-1,1,0,-1,0.002639631480061397,0
48,JOB_3850,CV_2365,-1,-1,0,1,-1,0.002396402946724275,0
49,JOB_3850,CV_2766,-1,-1,1,-1,-1,0.0015442935692705172,0
50,JOB_3850,CV_2732,-1,-1,-1,1,-1,0.00026061368312641647,0
51,JOB_3850,CV_392,-1,-1,-1,1,-1,0.00026061368312641647,0
52,JOB_3850,CV_2672,-1,-1,1,-1,-1,0.0015442935692705172,0
53,JOB_3850,CV_1574,-1,-1,1,1,-1,0.004994451571761179,0
54,JOB_3850,CV_116,-1,-1,-1,1,-1,0.00026061368312641647,0
55,JOB_3850,CV_1517,-1,-1,0,1,-1,0.002396402946724275,0
56,JOB_3850,CV_272,-1,-1,-1,1,-1,0.00026061368312641647,0
57,JOB_3850,CV_2752,-1,-1,1,1,-1,0.004994451571761179,0
58,JOB_3850,CV_1795,-1,-1,-1,1,-1,0.00026061368312641647,0
59,JOB_3850,CV_1690,-1,-1,0,1,-1,0.002396402946724275,0
60,JOB_3850,CV_3399,-1,-1,1,1,-1,0.004994451571761179,0
61,JOB_3850,CV_601,-1,-1,1,1,-1,0.004994451571761179,0
62,JOB_3850,CV_1231,-1,-1,1,-1,-1,0.0015442935692705172,0
63,JOB_3850,CV_388,-1,-1,-1,0,-1,0.00013742938756156384,0
64,JOB_3850,CV_1687,-1,0,1,1,-1,0.05232559089768777,0
65,JOB_3850,CV_634,-1,-1,-1,1,-1,0.00026061368312641647,0
66,JOB_3850,CV_1245,-1,-1,1,1,-1,0.004994451571761179,0
67,JOB_3850,CV_2723,-1,-1,-1,1,-1,0.00026061368312641647,0
68,JOB_3850,CV_296,-1,-1,0,1,-1,0.002396402946724275,0
69,JOB_3850,CV_2024,-1,0,1,1,-1,0.05232559089768777,0
70,JOB_3850,CV_3923,-1,-1,1,1,-1,0.004994451571761179,0
71,JOB_3850,CV_2514,-1,-1,-1,1,-1,0.00026061368312641647,0
72,JOB_3850,CV_3176,-1,-1,0,-1,-1,0.0007396380664553713,0
73,JOB_3850,CV_2541,-1,-1,-1,1,-1,0.00026061368312641647,0
74,JOB_3850,CV_3429,-1,-1,-1,-1,-1,8.03182586734358e-05,0
75,JOB_3850,CV_3719,-1,-1,-1,1,-1,0.00026061368312641647,0
76,JOB_3850,CV_3753,-1,-1,-1,1,-1,0.00026061368312641647,0
77,JOB_3850,CV_2415,-1,-1,1,-1,-1,0.0015442935692705172,0
78,JOB_3850,CV_1019,-1,-1,-1,1,-1,0.00026061368312641647,0
79,JOB_3850,CV_1810,-1,-1,-1,1,-1,0.00026061368312641647,0
80,JOB_3850,CV_1971,-1,-1,-1,1,-1,0.00026061368312641647,0
81,JOB_3850,CV_1796,-1,-1,0,1,-1,0.002396402946724275,0
82,JOB_3850,CV_1781,-1,-1,-1,1,-1,0.00026061368312641647,0
83,JOB_3850,CV_2366,-1,-1,1,1,-1,0.004994451571761179,0
84,JOB_3850,CV_2436,-1,-1,1,1,-1,0.004994451571761179,0
85,JOB_3850,CV_2492,-1,-1,1,1,-1,0.004994451571761179,0
86,JOB_3850,CV_1963,-1,-1,0,1,-1,0.002396402946724275,0
87,JOB_3850,CV_2977,-1,-1,1,1,-1,0.004994451571761179,0
88,JOB_3850,CV_929,-1,-1,1,-1,-1,0.0015442935692705172,0
89,JOB_3850,CV_3738,-1,-1,1,1,-1,0.004994451571761179,0
90,JOB_3850,CV_3414,-1,-1,-1,1,-1,0.00026061368312641647,0
91,JOB_3850,CV_1577,-1,-1,-1,1,-1,0.00026061368312641647,0
92,JOB_3850,CV_2420,-1,-1,0,1,-1,0.002396402946724275,0
93,JOB_3850,CV_2574,-1,-1,-1,1,-1,0.00026061368312641647,0
94,JOB_3850,CV_2858,-1,-1,1,1,1,0.024737444512838436,0
95,JOB_3850,CV_1494,-1,-1,1,1,-1,0.004994451571761179,0
96,JOB_3850,CV_216,-1,-1,1,1,-1,0.004994451571761179,0
97,JOB_3850,CV_884,-1,-1,-1,1,-1,0.00026061368312641647,0
98,JOB_3850,CV_2953,-1,-1,1,-1,-1,0.0015442935692705172,0
99,JOB_3850,CV_3181,-1,-1,1,1,-1,0.004994451571761179,0
100,JOB_4111,CV_1224,-1,1,-1,0,-1,0.003181698906503991,0
101,JOB_4111,CV_2723,-1,1,-1,0,-1,0.003181698906503991,0
102,JOB_4111,CV_3145,-1,-1,1,-1,-1,0.0015442935692705172,0
103,JOB_4111,CV_2495,-1,0,-1,0,-1,0.0015096485596628858,0
104,JOB_4111,CV_3478,-1,0,1,0,-1,0.02828921519950765,0
105,JOB_4111,CV_3945,-1,0,0,0,-1,0.01374087676851104,0
106,JOB_4111,CV_2733,-1,1,-1,-1,-1,0.0018618453328126804,0
107,JOB_4111,CV_2579,-1,1,-1,0,-1,0.003181698906503991,0
108,JOB_4111,CV_2441,-1,1,-1,0,-1,0.003181698906503991,0
109,JOB_4111,CV_477,-1,0,1,-1,-1,0.016728886119059285,0
110,JOB_4111,CV_1807,-1,0,1,0,-1,0.02828921519950765,0
