seed,lf_a,lf_b,joint_coverage_rate,agreement_rate,conflict_rate,spearman
11,lf_skill,lf_sem,0.5,0.5191071428571429,0.24044642857142856,0.07360674930347139
11,lf_skill,lf_exp,0.8133035714285715,0.4641563289054781,0.4358035714285714,0.05406836102375944
11,lf_skill,lf_role,0.7642857142857142,0.6672897196261682,0.2542857142857143,0.034384738604492295
11,lf_skill,lf_loc,0.9642857142857143,0.7727777777777778,0.21910714285714286,-0.019950139040586398
11,lf_sem,lf_exp,0.4045535714285714,0.4842198190244979,0.20866071428571428,-0.02125236514467983
11,lf_sem,lf_role,0.39321428571428574,0.6008174386920981,0.15696428571428572,0.1348031942462234
11,lf_sem,lf_loc,0.4828571428571429,0.5153476331360947,0.23401785714285714,0.02914018668474879
11,lf_exp,lf_role,0.6122321428571429,0.46288464343007146,0.3288392857142857,-0.030272980417171556
11,lf_exp,lf_loc,0.7823214285714286,0.45845697329376855,0.4236607142857143,-0.025329053201106226
11,lf_role,lf_loc,0.7445535714285715,0.5854418995083344,0.3086607142857143,-0.03185268274846698
23,lf_skill,lf_sem,0.5,0.5191071428571429,0.24044642857142856,0.07360674930347139
23,lf_skill,lf_exp,0.8133035714285715,0.4641563289054781,0.4358035714285714,0.05406836102375944
23,lf_skill,lf_role,0.7642857142857142,0.6672897196261682,0.2542857142857143,0.034384738604492295
23,lf_skill,lf_loc,0.9642857142857143,0.7727777777777778,0.21910714285714286,-0.019950139040586398
23,lf_sem,lf_exp,0.4045535714285714,0.4842198190244979,0.20866071428571428,-0.02125236514467983
23,lf_sem,lf_role,0.39321428571428574,0.6008174386920981,0.15696428571428572,0.1348031942462234
23,lf_sem,lf_loc,0.4828571428571429,0.5153476331360947,0.23401785714285714,0.02914018668474879
23,lf_exp,lf_role,0.6122321428571429,0.46288464343007146,0.3288392857142857,-0.030272980417171556
23,lf_exp,lf_loc,0.7823214285714286,0.45845697329376855,0.4236607142857143,-0.025329053201106226
23,lf_role,lf_loc,0.7445535714285715,0.5854418995083344,0.3086607142857143,-0.03185268274846698
42,lf_skill,lf_sem,0.5,0.5191071428571429,0.24044642857142856,0.07360674930347139
42,lf_skill,lf_exp,0.8133035714285715,0.4641563289054781,0.4358035714285714,0.05406836102375944
42,lf_skill,lf_role,0.7642857142857142,0.6672897196261682,0.2542857142857143,0.034384738604492295
42,lf_skill,lf_loc,0.9642857142857143,0.7727777777777778,0.21910714285714286,-0.019950139040586398
42,lf_sem,lf_exp,0.4045535714285714,0.4842198190244979,0.20866071428571428,-0.02125236514467983
42,lf_sem,lf_role,0.39321428571428574,0.6008174386920981,0.15696428571428572,0.1348031942462234
42,lf_sem,lf_loc,0.4828571428571429,0.5153476331360947,0.23401785714285714,0.02914018668474879
42,lf_exp,lf_role,0.6122321428571429,0.46288464343007146,0.3288392857142857,-0.030272980417171556
42,lf_exp,lf_loc,0.7823214285714286,0.45845697329376855,0.4236607142857143,-0.025329053201106226
42,lf_role,lf_loc,0.7445535714285715,0.5854418995083344,0.3086607142857143,-0.03185268274846698
67,lf_skill,lf_sem,0.5,0.5191071428571429,0.24044642857142856,0.07360674930347139
67,lf_skill,lf_exp,0.8133035714285715,0.4641563289054781,0.4358035714285714,0.05406836102375944
67,lf_skill,lf_role,0.7642857142857142,0.6672897196261682,0.2542857142857143,0.034384738604492295
67,lf_skill,lf_loc,0.9642857142857143,0.7727777777777778,0.21910714285714286,-0.019950139040586398
67,lf_sem,lf_exp,0.4045535714285714,0.4842198190244979,0.20866071428571428,-0.02125236514467983
67,lf_sem,lf_role,0.39321428571428574,0.6008174386920981,0.15696428571428572,0.1348031942462234
67,lf_sem,lf_loc,0.4828571428571429,0.5153476331360947,0.23401785714285714,0.02914018668474879
67,lf_exp,lf_role,0.6122321428571429,0.46288464343007146,0.3288392857142857,-0.030272980417171556
67,lf_exp,lf_loc,0.7823214285714286,0.45845697329376855,0.4236607142857143,-0.025329053201106226
67,lf_role,lf_loc,0.7445535714285715,0.5854418995083344,0.3086607142857143,-0.03185268274846698
89,lf_skill,lf_sem,0.5,0.5191071428571429,0.24044642857142856,0.07360674930347139
89,lf_skill,lf_exp,0.8133035714285715,0.4641563289054781,0.4358035714285714,0.05406836102375944
89,lf_skill,lf_role,0.7642857142857142,0.6672897196261682,0.2542857142857143,0.034384738604492295
89,lf_skill,lf_loc,0.9642857142857143,0.7727777777777778,0.21910714285714286,-0.019950139040586398
89,lf_sem,lf_exp,0.4045535714285714,0.4842198190244979,0.20866071428571428,-0.02125236514467983
89,lf_sem,lf_role,0.39321428571428574,0.6008174386920981,0.15696428571428572,0.1348031942462234
89,lf_sem,lf_loc,0.4828571428571429,0.5153476331360947,0.23401785714285714,0.02914018668474879
89,lf_exp,lf_role,0.6122321428571429,0.46288464343007146,0.3288392857142857,-0.030272980417171556
89,lf_exp,lf_loc,0.7823214285714286,0.45845697329376855,0.4236607142857143,-0.025329053201106226
89,lf_role,lf_loc,0.7445535714285715,0.5854418995083344,0.3086607142857143,-0.03185268274846698
