seed,split,job_id,candidate_unordered_pairs,near_ties_removed,eligible_pairs,eligible_hard_negatives,selected_pairs,selected_hard_negatives
11,train,JOB_10046,4950,1756,3194,2792,150,150
11,train,JOB_10117,4950,1260,3690,3093,150,150
11,train,JOB_10204,4950,2163,2787,1760,150,150
11,train,JOB_10330,4950,3220,1730,1180,150,150
11,train,JOB_10337,4950,2482,2468,1442,150,150
11,train,JOB_10339,4950,4203,747,331,150,150
11,train,JOB_10451,4950,1023,3927,3599,150,150
11,train,JOB_10452,4950,1373,3577,2875,150,150
11,train,JOB_10526,4950,1758,3192,2665,150,150
11,train,JOB_10642,4950,4038,912,388,150,150
11,train,JOB_10815,4950,3237,1713,1143,150,150
11,train,JOB_10892,4950,1396,3554,3377,150,150
11,train,JOB_11087,4950,3464,1486,986,150,150
11,train,JOB_11097,4950,1456,3494,3088,150,150
11,train,JOB_11526,4950,1264,3686,3244,150,150
11,train,JOB_11755,4950,2050,2900,2383,150,150
11,train,JOB_11854,4950,2197,2753,2198,150,150
11,train,JOB_11861,4950,1277,3673,2922,150,150
11,train,JOB_11897,4950,2942,2008,1614,150,150
11,train,JOB_11973,4950,3370,1580,1040,150,150
11,train,JOB_12087,4950,1456,3494,2558,150,150
11,train,JOB_12093,4950,3218,1732,1111,150,150
11,train,JOB_12097,4950,2656,2294,972,150,150
11,train,JOB_12302,4950,2332,2618,1682,150,150
11,train,JOB_12962,4950,3687,1263,768,150,150
11,train,JOB_13121,4950,2304,2646,1219,150,150
11,train,JOB_13209,4950,2480,2470,1770,150,150
11,train,JOB_13315,4950,4583,367,214,150,150
11,train,JOB_13526,4950,3155,1795,1103,150,150
11,train,JOB_13832,4950,4950,0,0,0,0
11,train,JOB_14044,4950,4562,388,184,150,150
11,train,JOB_14098,4950,1485,3465,2700,150,150
11,train,JOB_14292,4950,1998,2952,2281,150,150
11,train,JOB_14384,4950,1848,3102,2955,150,150
11,train,JOB_1662,4950,4466,484,274,150,150
11,train,JOB_1695,4950,2292,2658,2181,150,150
11,train,JOB_1726,4950,1794,3156,2477,150,150
11,train,JOB_181,4950,2941,2009,1393,150,150
11,train,JOB_2031,4950,2636,2314,1966,150,150
11,train,JOB_2131,4950,1721,3229,2366,150,150
11,train,JOB_2300,4950,3032,1918,1191,150,150
11,train,JOB_2418,4950,4950,0,0,0,0
11,train,JOB_2464,4950,2866,2084,1391,150,150
11,train,JOB_2783,4950,1617,3333,2360,150,150
11,train,JOB_2808,4950,4376,574,252,150,150
11,train,JOB_2814,4950,2960,1990,1030,150,150
11,train,JOB_2947,4950,2727,2223,1293,150,150
11,train,JOB_2967,4950,4950,0,0,0,0
11,train,JOB_302,4950,2058,2892,2355,150,150
11,train,JOB_3027,4950,3581,1369,710,150,150
11,train,JOB_3037,4950,2011,2939,2624,150,150
11,train,JOB_3102,4950,976,3974,3737,150,150
11,train,JOB_3123,4950,1972,2978,2536,150,150
11,train,JOB_3311,4950,4390,560,314,150,150
11,train,JOB_369,4950,2973,1977,1327,150,150
11,train,JOB_3701,4950,4003,947,429,150,150
11,train,JOB_3845,4950,2859,2091,988,150,150
11,train,JOB_3850,4950,4685,265,241,150,150
11,train,JOB_3898,4950,4686,264,119,150,119
11,train,JOB_3899,4950,3219,1731,1593,150,150
11,train,JOB_3962,4950,1406,3544,2986,150,150
11,train,JOB_3992,4950,2842,2108,1838,150,150
11,train,JOB_4016,4950,1633,3317,2816,150,150
11,train,JOB_4111,4950,2277,2673,2009,150,150
11,train,JOB_4315,4950,2761,2189,1511,150,150
11,train,JOB_4758,4950,4950,0,0,0,0
11,train,JOB_4901,4950,2852,2098,1035,150,150
11,train,JOB_5037,4950,2260,2690,1820,150,150
11,train,JOB_5132,4950,3440,1510,516,150,150
11,train,JOB_530,4950,2965,1985,892,150,150
11,train,JOB_5384,4950,2392,2558,1913,150,150
11,train,JOB_5437,4950,3432,1518,916,150,150
11,train,JOB_5506,4950,1640,3310,2281,150,150
11,train,JOB_5596,4950,2458,2492,1395,150,150
11,train,JOB_5695,4950,3596,1354,720,150,150
11,train,JOB_5802,4950,1103,3847,3468,150,150
11,train,JOB_5912,4950,3023,1927,1260,150,150
11,train,JOB_5933,4950,2955,1995,1372,150,150
11,train,JOB_6023,4950,4143,807,438,150,150
11,train,JOB_6093,4950,2011,2939,2404,150,150
11,train,JOB_6405,4950,3807,1143,649,150,150
11,train,JOB_6573,4950,2496,2454,827,150,150
11,train,JOB_6758,4950,4950,0,0,0,0
11,train,JOB_6822,4950,2449,2501,1913,150,150
11,train,JOB_7032,4950,1660,3290,2096,150,150
11,train,JOB_7122,4950,1598,3352,2736,150,150
11,train,JOB_7295,4950,3126,1824,1212,150,150
11,train,JOB_7460,4950,1515,3435,3111,150,150
11,train,JOB_7528,4950,1486,3464,2992,150,150
