model_a,model_b,metric,n_jobs,mean_delta,ci_95_low,ci_95_high
H,M1,ndcg@5,12,0.005265865915618691,-0.015521675045978912,0.02701300385089567
H,M1,map@5,12,0.03638888888888888,0.0,0.08249999999999998
H,M1,ndcg@10,12,0.006940273775335237,-0.011058622006092228,0.02731195169106359
H,M1,map@10,12,0.03638888888888888,0.0,0.08249999999999998
B1,M1,ndcg@5,12,0.005265865915618691,-0.015521675045978912,0.02701300385089567
B1,M1,map@5,12,0.03638888888888888,0.0,0.08249999999999998
B1,M1,ndcg@10,12,0.006940273775335237,-0.011058622006092228,0.02731195169106359
B1,M1,map@10,12,0.03638888888888888,0.0,0.08249999999999998
B2,M1,ndcg@5,12,-0.014821089879934496,-0.07518495504875268,0.03825992084977907
B2,M1,map@5,12,-0.09787037037037039,-0.24509259259259264,0.027516203703703453
B2,M1,ndcg@10,12,-0.0249066165215114,-0.07964641761924832,0.02389462636704112
B2,M1,map@10,12,-0.09787037037037039,-0.24509259259259264,0.027516203703703453
