seed,model,perturbation,job_id,qual_sens,n_pairs
11,M1,skill,JOB_01,0.0,15
11,M1,skill,JOB_02,0.0,10
11,M1,skill,JOB_14,0.0,7
11,M1,skill,JOB_20,0.0,6
11,M1,skill,JOB_21,0.0,7
11,M1,skill,JOB_23,0.0,9
11,M1,skill,JOB_29,0.0,14
11,M1,skill,JOB_51,0.0,10
11,M1,skill,JOB_52,0.0,6
11,M1,skill,JOB_60,0.25,4
11,M1,skill,JOB_71,0.0,7
11,M1,skill,JOB_74,0.0,5
11,M1,exp,JOB_01,0.7333333333333333,15
11,M1,exp,JOB_02,1.0,10
11,M1,exp,JOB_14,1.0,7
11,M1,exp,JOB_20,0.8333333333333334,6
11,M1,exp,JOB_21,1.0,7
11,M1,exp,JOB_23,1.0,9
11,M1,exp,JOB_29,1.0,14
11,M1,exp,JOB_51,1.0,10
11,M1,exp,JOB_52,0.6666666666666666,6
11,M1,exp,JOB_60,1.0,4
11,M1,exp,JOB_71,0.7142857142857143,7
11,M1,exp,JOB_74,1.0,5
11,M1,domain,JOB_01,0.06666666666666667,15
11,M1,domain,JOB_02,1.0,10
11,M1,domain,JOB_14,0.7142857142857143,7
11,M1,domain,JOB_20,0.6666666666666666,6
11,M1,domain,JOB_21,0.7142857142857143,7
11,M1,domain,JOB_23,1.0,9
11,M1,domain,JOB_29,0.2857142857142857,14
11,M1,domain,JOB_51,1.0,10
11,M1,domain,JOB_52,0.6666666666666666,6
11,M1,domain,JOB_60,1.0,4
11,M1,domain,JOB_71,0.14285714285714285,7
11,M1,domain,JOB_74,1.0,5
11,M2,skill,JOB_01,0.0,15
11,M2,skill,JOB_02,0.0,10
11,M2,skill,JOB_14,0.0,7
11,M2,skill,JOB_20,0.0,6
11,M2,skill,JOB_21,0.0,7
11,M2,skill,JOB_23,0.0,9
11,M2,skill,JOB_29,0.0,14
11,M2,skill,JOB_51,0.0,10
11,M2,skill,JOB_52,0.0,6
11,M2,skill,JOB_60,0.25,4
11,M2,skill,JOB_71,0.0,7
11,M2,skill,JOB_74,0.0,5
11,M2,exp,JOB_01,0.8,15
11,M2,exp,JOB_02,0.9,10
11,M2,exp,JOB_14,1.0,7
11,M2,exp,JOB_20,0.8333333333333334,6
11,M2,exp,JOB_21,1.0,7
11,M2,exp,JOB_23,0.8888888888888888,9
11,M2,exp,JOB_29,0.9285714285714286,14
11,M2,exp,JOB_51,1.0,10
11,M2,exp,JOB_52,0.8333333333333334,6
11,M2,exp,JOB_60,1.0,4
11,M2,exp,JOB_71,0.8571428571428571,7
11,M2,exp,JOB_74,1.0,5
11,M2,domain,JOB_01,0.13333333333333333,15
11,M2,domain,JOB_02,1.0,10
11,M2,domain,JOB_14,0.8571428571428571,7
11,M2,domain,JOB_20,0.6666666666666666,6
11,M2,domain,JOB_21,0.7142857142857143,7
11,M2,domain,JOB_23,1.0,9
11,M2,domain,JOB_29,0.35714285714285715,14
11,M2,domain,JOB_51,1.0,10
11,M2,domain,JOB_52,0.6666666666666666,6
11,M2,domain,JOB_60,1.0,4
11,M2,domain,JOB_71,0.14285714285714285,7
11,M2,domain,JOB_74,1.0,5
23,M1,skill,JOB_01,0.0,15
23,M1,skill,JOB_02,0.0,10
23,M1,skill,JOB_14,0.0,7
23,M1,skill,JOB_20,0.0,6
23,M1,skill,JOB_21,0.0,7
23,M1,skill,JOB_23,0.0,9
23,M1,skill,JOB_29,0.0,14
23,M1,skill,JOB_51,0.0,10
23,M1,skill,JOB_52,0.0,6
23,M1,skill,JOB_60,0.25,4
23,M1,skill,JOB_71,0.0,7
23,M1,skill,JOB_74,0.0,5
23,M1,exp,JOB_01,0.9333333333333333,15
23,M1,exp,JOB_02,1.0,10
23,M1,exp,JOB_14,1.0,7
23,M1,exp,JOB_20,1.0,6
23,M1,exp,JOB_21,1.0,7
23,M1,exp,JOB_23,1.0,9
23,M1,exp,JOB_29,1.0,14
23,M1,exp,JOB_51,1.0,10
23,M1,exp,JOB_52,0.6666666666666666,6
23,M1,exp,JOB_60,1.0,4
23,M1,exp,JOB_71,0.7142857142857143,7
23,M1,exp,JOB_74,1.0,5
23,M1,domain,JOB_01,0.13333333333333333,15
23,M1,domain,JOB_02,1.0,10
23,M1,domain,JOB_14,0.8571428571428571,7
23,M1,domain,JOB_20,0.6666666666666666,6
23,M1,domain,JOB_21,0.7142857142857143,7
23,M1,domain,JOB_23,1.0,9
23,M1,domain,JOB_29,0.35714285714285715,14
23,M1,domain,JOB_51,1.0,10
23,M1,domain,JOB_52,0.6666666666666666,6
23,M1,domain,JOB_60,1.0,4
