pair_id,job_id,cand_id,lf_sem,lf_skill,lf_exp,y_prob
0,JOB_3850,CV_945,-1,-1,1,0.0010209214132788126
1,JOB_3850,CV_3871,-1,-1,1,0.0010209214132788126
2,JOB_3850,CV_1237,-1,-1,1,0.0010209214132788126
3,JOB_3850,CV_2623,-1,0,0,0.0010209214132788137
4,JOB_3850,CV_2932,-1,-1,0,0.0005055652158428946
5,JOB_3850,CV_3012,-1,-1,0,0.0005055652158428946
6,JOB_3850,CV_2531,-1,-1,0,0.0005055652158428946
7,JOB_3850,CV_3433,-1,-1,1,0.0010209214132788126
8,JOB_3850,CV_3810,-1,-1,0,0.0005055652158428946
9,JOB_3850,CV_261,-1,-1,-1,9.917959306947982e-06
10,JOB_3850,CV_2473,-1,-1,0,0.0005055652158428946
11,JOB_3850,CV_3406,-1,-1,1,0.0010209214132788126
12,JOB_3850,CV_2822,-1,-1,0,0.0005055652158428946
13,JOB_3850,CV_524,-1,-1,0,0.0005055652158428946
14,JOB_3850,CV_3680,-1,0,0,0.0010209214132788137
15,JOB_3850,CV_3341,-1,-1,0,0.0005055652158428946
16,JOB_3850,CV_2579,-1,-1,0,0.0005055652158428946
17,JOB_3850,CV_678,-1,-1,0,0.0005055652158428946
18,JOB_3850,CV_1186,-1,-1,1,0.0010209214132788126
19,JOB_3850,CV_3559,-1,0,1,0.00206053138538357
20,JOB_3850,CV_2858,-1,-1,1,0.0010209214132788126
21,JOB_3850,CV_562,-1,-1,0,0.0005055652158428946
22,JOB_3850,CV_3326,-1,-1,1,0.0010209214132788126
23,JOB_3850,CV_870,-1,0,1,0.00206053138538357
24,JOB_3850,CV_500,-1,-1,1,0.0010209214132788126
25,JOB_3850,CV_2600,-1,-1,0,0.0005055652158428946
26,JOB_3850,CV_1502,0,-1,0,0.02538860103673903
27,JOB_3850,CV_3635,0,-1,-1,0.0005105230256900504
28,JOB_3850,CV_3109,-1,-1,0,0.0005055652158428946
29,JOB_3850,CV_206,-1,-1,0,0.0005055652158428946
30,JOB_4111,CV_3635,1,-1,-1,0.0010415531554970948
31,JOB_4111,CV_945,0,-1,1,0.050000000000852515
32,JOB_4111,CV_524,0,-1,0,0.02538860103673903
33,JOB_4111,CV_2469,1,-1,0,0.05048981939009535
34,JOB_4111,CV_865,1,-1,-1,0.0010415531554970948
35,JOB_4111,CV_1449,1,-1,-1,0.0010415531554970948
36,JOB_4111,CV_3839,0,-1,1,0.050000000000852515
37,JOB_4111,CV_365,-1,-1,1,0.0010209214132788126
38,JOB_4111,CV_3326,0,-1,1,0.050000000000852515
39,JOB_4111,CV_3243,0,-1,1,0.050000000000852515
40,JOB_4111,CV_767,0,-1,-1,0.0005105230256900504
41,JOB_4111,CV_631,0,-1,0,0.02538860103673903
42,JOB_4111,CV_169,0,-1,-1,0.0005105230256900504
43,JOB_4111,CV_3341,0,-1,0,0.02538860103673903
44,JOB_4111,CV_3680,-1,0,0,0.0010209214132788137
45,JOB_4111,CV_2741,-1,-1,0,0.0005055652158428946
46,JOB_4111,CV_3495,1,-1,0,0.05048981939009535
47,JOB_4111,CV_2473,1,-1,0,0.05048981939009535
48,JOB_4111,CV_2418,0,0,0,0.050000000000852515
49,JOB_4111,CV_281,0,0,0,0.050000000000852515
50,JOB_4111,CV_3150,1,-1,1,0.09701196509778601
51,JOB_4111,CV_3109,1,-1,0,0.05048981939009535
52,JOB_4111,CV_2623,1,0,0,0.09701196509778601
53,JOB_4111,CV_2932,1,-1,0,0.05048981939009535
54,JOB_4111,CV_261,0,-1,-1,0.0005105230256900504
55,JOB_4111,CV_2858,1,-1,1,0.09701196509778601
56,JOB_4111,CV_2745,0,-1,0,0.02538860103673903
57,JOB_4111,CV_3446,-1,-1,0,0.0005055652158428946
58,JOB_4111,CV_313,0,-1,0,0.02538860103673903
59,JOB_4111,CV_1186,0,-1,1,0.050000000000852515
60,JOB_369,CV_500,0,-1,1,0.050000000000852515
61,JOB_369,CV_3462,0,-1,0,0.02538860103673903
62,JOB_369,CV_3012,0,-1,0,0.02538860103673903
